Trace number,FFID,Correction P,Correction S,Pick P,Pick S,Deformation sample,Density,P vel,S vel,YM sample,Total deformation,Total P vel,Total S vel,Total YM,Poissons ratio,CP
2,0,15.437025,30.213911,0.000019,0.000033,0,2632.800049,0,0,nan,0.069819,3743.436523,2089.25,93.991623,nan,10
3,1,15.437025,30.213911,0.000019,0.000033,0,2632.800049,0,0,nan,0.069809,3747.755371,2092.977051,94.178009,nan,10
4,2,15.437025,30.213911,0.000019,0.000033,0,2632.800049,0,0,nan,0.069799,3748.827393,2097.707764,94.135429,nan,10
5,3,15.437025,30.213911,0.000019,0.000033,0,2632.800049,0,0,nan,0.069789,3748.280762,2100.432129,94.036903,nan,10
6,4,15.437025,30.213911,0.000019,0.000033,0,2632.800049,0,0,nan,0.069779,3750.97876,2105.714844,94.083412,nan,10
7,5,15.437025,30.213911,0.000019,0.000033,0,2632.800049,0,0,nan,0.069769,3753.662598,2109.483398,94.164497,nan,10
8,6,15.437025,30.213911,0.000019,0.000033,0,2632.800049,0,0,nan,0.069759,3756.361328,2113.271973,94.245918,nan,10
9,7,15.437025,30.213911,0.000019,0.000033,0,2632.800049,0,0,nan,0.069749,3757.450684,2118.621826,94.187363,nan,10
10,8,15.437025,30.213911,0.000019,0.000033,0,2632.800049,0,0,nan,0.06974,3756.924072,2118.8396,94.148621,nan,10
11,9,15.437025,30.213911,0.000019,0.000033,0,2632.800049,0,0,nan,0.069729,3759.611572,2118.013428,94.3395,nan,10
12,10,15.437025,30.213911,0.000019,0.000033,0,2632.800049,0,0,nan,0.069719,3759.068848,2118.737305,94.287613,nan,10
13,11,15.437025,30.213911,0.000019,0.000033,0,2632.800049,0,0,nan,0.06971,3765.044434,2119.474854,94.650642,nan,10
14,12,15.437025,30.213911,0.000019,0.000033,0,2632.800049,0,0,nan,0.069699,3762.861816,2119.161377,94.519043,nan,10
15,13,15.437025,30.213911,0.000018,0.000033,0,2632.800049,0,0,nan,0.069689,3767.208252,2118.344238,94.815582,nan,10
16,14,15.437025,30.213911,0.000018,0.000033,0,2632.800049,0,0,nan,0.069679,3769.919189,2119.065918,94.971245,nan,10
17,15,15.437025,30.213911,0.000018,0.000033,0,2632.800049,0,0,nan,0.069669,3772.628174,2119.785156,95.126945,nan,10
18,16,15.437025,30.213911,0.000018,0.000033,0,2632.800049,0,0,nan,0.069659,3777.015869,2121.040527,95.377205,nan,10
19,17,15.437025,30.213911,0.000018,0.000033,0,2632.800049,0,0,nan,0.069649,3781.396973,2123.32373,95.602814,nan,10
20,18,15.437025,30.213911,0.000018,0.000033,0,2632.800049,0,0,nan,0.06964,3792.386963,2125.612793,96.251945,nan,10
21,19,15.437025,30.213911,0.000018,0.000033,0,2632.800049,0,0,nan,0.06963,3798.462402,2128.42627,96.574677,nan,10
22,20,15.437025,30.213911,0.000018,0.000033,0,2632.800049,0,0,nan,0.069619,3804.555664,2130.723633,96.911392,nan,10
23,21,15.437025,30.213911,0.000018,0.000033,0,2632.800049,0,0,nan,0.069609,3810.667725,2132.503906,97.262161,nan,10
24,22,15.437025,30.213911,0.000018,0.000033,0,2632.800049,0,0,nan,0.0696,3816.81543,2134.818359,97.603065,nan,10
25,23,15.437025,30.213911,0.000018,0.000033,0.069677,2632.800049,3827.767822,2139.286865,98.203537,0.06959,3822.976074,2136.608887,97.957825,0.272882,10
26,24,15.437025,30.213911,0.000018,0.000033,0.06967,2632.800049,3834.137939,2141.710205,98.557777,0.06958,3829.157715,2138.928467,98.301903,0.273232,10
27,25,15.437025,30.213911,0.000018,0.000033,0.069663,2632.800049,3845.615234,2143.08252,99.26873,0.069569,3840.4375,2140.197021,99.001602,0.274773,10
28,26,15.437025,30.213911,0.000018,0.000032,0.069657,2632.800049,3850.347168,2144.459473,99.543106,0.06956,3844.984131,2141.472656,99.265991,0.275157,10
29,27,15.437025,30.213911,0.000018,0.000032,0.06965,2632.800049,3849.975586,2146.367676,99.473633,0.06955,3844.432373,2143.2771,99.187401,0.274513,10
30,28,15.437025,30.213911,0.000018,0.000032,0.069643,2632.800049,3861.55249,2145.628418,100.243645,0.069539,3855.803467,2142.434082,99.945381,0.276689,10
31,29,15.437025,30.213911,0.000018,0.000032,0.069636,2632.800049,3862.880127,2147.531006,100.285011,0.069529,3856.956299,2144.237793,99.977669,0.276338,10
32,30,15.437025,30.213911,0.000018,0.000032,0.069629,2632.800049,3865.945068,2147.327637,100.489372,0.06952,3859.841064,2143.937012,100.172302,0.276912,10
33,31,15.437025,30.213911,0.000018,0.000032,0.069623,2632.800049,3869.004395,2149.239502,100.643448,0.069509,3862.706543,2145.740967,100.316071,0.276848,10
34,32,15.437025,30.213911,0.000018,0.000032,0.069616,2632.800049,3870.357422,2149.56543,100.72393,0.0695,3863.890381,2145.973633,100.387611,0.276976,10
35,33,15.437025,30.213911,0.000018,0.000032,0.069609,2632.800049,3868.26001,2149.887451,100.57959,0.06949,3861.61377,2146.193848,100.234261,0.276529,10
36,34,15.437025,30.213911,0.000018,0.000033,0.069602,2632.800049,3871.324951,2138.581055,101.045044,0.06948,3864.49292,2134.807129,100.688705,0.280407,10
37,35,15.437025,30.213911,0.000018,0.000033,0.069596,2632.800049,3874.400146,2141.006836,101.18866,0.06947,3867.376953,2137.125732,100.822144,0.280192,10
38,36,15.437025,30.213911,0.000018,0.000032,0.069589,2632.800049,3872.300781,2141.85376,101.032104,0.06946,3865.103516,2137.872803,100.656883,0.279597,10
39,37,15.437025,30.213911,0.000018,0.000033,0.069582,2632.800049,3880.556885,2135.333496,101.721657,0.06945,3873.179199,2131.273926,101.335243,0.282855,10
40,38,15.437025,30.213911,0.000018,0.000032,0,2632.800049,0,0,nan,0.069439,3869.140869,2141.466064,100.835434,nan,10
41,39,15.437025,30.213911,0.000018,0.000032,0,2632.800049,0,0,nan,0.06943,3873.788086,2136.427002,101.255508,nan,10
42,40,15.437025,30.213911,0.000018,0.000032,0,2632.800049,0,0,nan,0.069419,3876.665039,2137.157715,101.425858,nan,10
43,41,15.437025,30.213911,0.000018,0.000032,0,2632.800049,0,0,nan,0.06941,3872.674805,2136.865234,101.172859,nan,10
44,42,15.437025,30.213911,0.000018,0.000033,0,2632.800049,0,0,nan,0.0694,3877.30835,2133.405029,101.55468,nan,10
45,43,15.437025,30.213911,0.000018,0.000033,0,2632.800049,0,0,nan,0.06939,3878.478271,2128.90625,101.734444,nan,10
46,44,15.437025,30.213911,0.000018,0.000033,0,2632.800049,0,0,nan,0.06938,3879.669434,2118.209717,102.055779,nan,10
47,45,15.437025,30.213911,0.000018,0.000033,0,2632.800049,0,0,nan,0.06937,3880.828613,2124.640869,101.984978,nan,10
48,46,15.437025,30.213911,0.000018,0.000033,0,2632.800049,0,0,nan,0.06936,3883.743164,2106.782227,102.576927,nan,10
49,47,15.437025,30.213911,0.000018,0.000033,0,2632.800049,0,0,nan,0.06935,3886.660645,2115.213867,102.577766,nan,10
50,48,15.437025,30.213911,0.000018,0.000033,0,2632.800049,0,0,nan,0.06934,3884.369629,2099.545654,102.777992,nan,10
51,49,15.437025,30.213911,0.000018,0.000033,0,2632.800049,0,0,nan,0.069329,3885.532959,2083.08667,103.212677,nan,10
52,50,15.437025,30.213911,0.000018,0.000033,0,2632.800049,0,0,nan,0.06932,3886.742676,2084.303955,103.264664,nan,10
53,51,15.437025,30.213911,0.000018,0.000033,0,2632.800049,0,0,nan,0.069311,3889.726563,2074.550781,103.667229,nan,10
91,0,15.437025,30.213911,0.000018,0.000029,0,2632.800049,0,0,nan,0.069619,3789.597412,2360.105713,89.472382,nan,20
92,1,15.437025,30.213911,0.000018,0.000029,0,2632.800049,0,0,nan,0.069609,3789.067139,2364.263672,89.298012,nan,20
93,2,15.437025,30.213911,0.000018,0.000029,0,2632.800049,0,0,nan,0.069599,3795.149658,2369.08374,89.550644,nan,20
94,3,15.437025,30.213911,0.000018,0.000029,0,2632.800049,0,0,nan,0.069589,3799.569092,2373.262451,89.71167,nan,20
95,4,15.437025,30.213911,0.000018,0.000029,0,2632.800049,0,0,nan,0.069579,3800.696289,2376.820557,89.668777,nan,20
96,5,15.437025,30.213911,0.000018,0.000029,0,2632.800049,0,0,nan,0.069569,3801.803223,2380.376465,89.624115,nan,20
